"","statistic","dm","p.value"
"IG_1070_1689385_1697378_fwd_f_st",2.45979199160359,0.0823826154847032,0.0491333360751731
"IG_10_10495_10642_rev_st",-3.00931591312654,-0.0463989172337396,0.0237214274824115
"IG_1110_1744617_1744723_fwd_st",-2.51503687931599,-0.169626464350173,0.0455917913598925
"IG_1145_1805715_1805819_fwd_st",3.5562628204404,0.368773113158689,0.0119810827336958
"IG_1189_1874879_1874911_fwd_st",-2.87584220952204,-0.276747951909513,0.0282106740475885
"IG_1346_2085091_2085350_rev_st",-4.07530657946856,-0.297639032948252,0.00653657927859992
"IG_1353_2099291_2099916_rev_f_st",-3.39947720550194,-0.386051290317754,0.0145052626340681
"IG_1355_2111084_2111455_rev_st",-2.57435769209406,-0.309440482250148,0.0420875634848897
"IG_1378_2169756_2169854_rev_st",-3.95780846153815,-0.204954543813507,0.0074704837618429
"IG_13_14080_14167_fwd_st",6.67680126789487,0.551444855625988,0.000546651798978298
"IG_1413_2238369_2238647_rev_st",-3.5888723805509,-0.307165401617302,0.0115194895622512
"IG_1583_2531401_2531783_fwd_st",-2.52751678315108,-0.22622068140687,0.0448297185579659
"IG_1586_2534364_2535361_fwd_f_st",-2.70877076483757,-0.211389105531842,0.0351634807299955
"IG_1643_2642304_2642452_rev_st",-7.22552836080499,-0.827115733412422,0.000356366436546516
"IG_1644_2642885_2643032_rev_st",-2.59337812243307,-0.404717736335399,0.0410253634655795
"IG_1667_2689182_2689675_rev_st",2.79281518607298,0.212604382712108,0.0314605034634775
"IG_1674_2705145_2705341_rev_st",-2.48958754315539,-0.218789148331958,0.0471885699498933
"IG_1743_2795050_2796111_rev_st",-3.18245717159316,-0.561510516212705,0.0190167086285214
"IG_1764_2820034_2820161_rev_st",-3.02655225227444,-0.16433856728867,0.0232005997585295
"IG_1791_2865575_2865636_rev_st",4.0474055459368,0.866377325651424,0.0067459061654496
"IG_1848_2976922_2977964_rev_st",2.96308003528025,0.189055693871175,0.0251822244908158
"IG_1877_3022208_3022314_fwd_st",2.82858576046469,0.144636301146571,0.0300134883882718
"IG_1881_3030836_3031084_fwd_st",2.85616146263824,0.0985047521734845,0.0289468940123999
"IG_1949_3144277_3144464_rev_st",-2.53593506548346,-0.174388597081057,0.0443232826627249
"IG_200_316394_316949_rev_st",-2.505359508547,-0.133311659421864,0.0461921526535349
"IG_2134_3421425_3421516_rev_s_st",-2.65398470461366,-0.711516285663844,0.0378266911956606
"IG_2258_3652844_3654624_fwd_st",3.12238086267018,0.095696463042187,0.0205226096388591
"IG_2260_3653935_3654037_rev_st",4.20600175561855,1.13782650118018,0.00564810878616654
"IG_227_357915_360472_rev_st",3.78919946104644,0.122678427530449,0.00908189694342023
"IG_2283_3699464_3710720_fwd_st",2.62084331051296,0.170665479568491,0.0395415335972719
"IG_2284_3703420_3703726_rev_st",-3.86263701473994,-0.754539054652394,0.00833675237860056
"IG_231_362404_362454_rev_st",2.53208567624896,1.1502480462415,0.0445541029163315
"IG_2369_3843358_3851542_fwd_st",3.26440439971875,0.165893464532447,0.0171539344892534
"IG_2372_3850616_3852740_rev_st",-2.76284972860063,-0.117877993837011,0.0327304174963069
"IG_2412_3912829_3913180_rev_st",-2.52369648168674,-0.265379354718527,0.0450615604629479
"IG_2415_3920081_3920684_rev_st",-3.34851855337748,-0.261335641835242,0.0154477024938738
"IG_2458_3991673_3997904_rev_st",-4.21446465915328,-0.194027966533797,0.00559542382275766
"IG_2487_4032743_4033119_fwd_s_st",-2.96147227372986,-0.352919187648782,0.0252347441999867
"IG_2577_4173136_4173251_fwd_st",-2.99718387916873,-1.07997568356003,0.0240956233085101
"IG_25_28208_28373_fwd_st",-2.90830038109704,-0.16276640046768,0.0270402411993128
"IG_2655_4296946_4297142_rev_st",-3.06322887774085,-0.198511828534158,0.0221332116973225
"IG_280_434781_434857_fwd_st",-2.51624679990363,-0.487616887836243,0.0455173127102101
"IG_2817_4540202_4540682_fwd_st",-2.96879926861002,-0.905146741510141,0.0249963554974598
"IG_308_475786_475895_fwd_st",-3.10315450130368,-0.331772766826939,0.0210316486282685
"IG_336_514998_516648_rev_st",-2.82615438786504,-0.18735763453326,0.0301095407129321
"IG_375_576109_577822_rev_st",-3.3743811114548,-0.56032110392024,0.0149612431077022
"IG_484_761963_762236_fwd_st",-2.91044846029448,-0.453154541126178,0.0269646540879743
"IG_4_5021_5233_fwd_st",-2.49843890028467,-0.181397654269396,0.0466266093167801
"IG_544_853989_855185_fwd_st",2.449479358837,0.165762086830089,0.0498259653452558
"IG_562_884454_884538_rev_st",-2.99558538673478,-0.323170291286049,0.0241454021458221
"IG_58_107475_107629_fwd_st",6.49951434583109,0.491350054962153,0.000631477281333935
"IG_595_932313_932446_fwd_st",-3.51238834545588,-1.1856093995996,0.0126347172062458
"IG_727_1156798_1157091_fwd_st",-2.55748945872899,-0.635629980132173,0.0430540017920921
"IG_820_1298469_1299205_fwd_st",7.11006831923033,2.45109873838238,0.000389063083617649
"IG_821_1300838_1300922_fwd_st",23.3028990631922,3.31830512966604,4.09557658019991e-07
"IG_885_1407058_1407534_fwd_st",3.94063824924742,0.103913238180196,0.00761904581195728
"IG_933_1494656_1494879_fwd_st",2.5918265075257,0.174840167133938,0.0411109380033282
"LAMCG_I_w_st",-3.65261530756582,-0.154415264714352,0.0106729817060882
"SYNPBR322_bla_c_st",-2.83574260943237,-0.418177671164448,0.0297326634703157
"SYNPBR322_tet_w_st",-3.39435609756002,-0.230872071480427,0.0145970534611403
"aceA_b4015_st",-2.66477534128426,-0.231420053466339,0.037285595359148
"alpA_b2624_st",-2.59430119116713,-0.314091063837312,0.0409745442431996
"amn_b1982_st",2.50075233999086,0.30076802798289,0.0464808997782362
"ampE_b0111_st",3.22741963510934,0.491886566026407,0.0179686874331822
"aroA_b0908_st",-2.62817277883428,-0.677562777505306,0.0391552776749679
"arp_b4017_st",-3.09780159566518,-0.203635693987595,0.0211758093340617
"artI_b0863_st",3.91803669738052,1.11440735214105,0.00781965224654804
"artP_b0864_st",3.03766268937102,0.767133218653139,0.022871467266084
"asd_b3433_st",2.85224988311835,0.371215322942884,0.0290956715334606
"aspC_b0928_st",-3.73505182820477,-0.557002362309088,0.00967879356954918
"atpB_b3738_st",-4.47240462758734,-0.644712240554911,0.00422655258946847
"atpD_b3732_st",-2.58770662044562,-0.694185677478369,0.0413390790459209
"atpF_b3736_st",-2.57794520925451,-0.478497937246775,0.0418850057120003
"atpG_b3733_st",-5.9452006082529,-0.598274871270332,0.00101205103480581
"atpI_b3739_st",-2.67787741798819,-0.604098316763061,0.0366396699210828
"b0836_st",2.51445251943079,1.23976163226646,0.0456278087140452
"b1170_st",-2.50483943794445,-0.238381578319025,0.0462246521983021
"b1284_st",-2.69966557343175,-0.358539128453737,0.0355918366316779
"b1297_st",2.65830187874839,0.599321554033704,0.0376092084004322
"b1396_st",-2.92452858358144,-0.32789517110394,0.0264748180310046
"b1410_st",3.29814831233742,0.225248283423964,0.0164457959363289
"b1605_st",2.75803335698773,0.392822211019489,0.0329396127461998
"b1695_st",-3.45774877028705,-0.351947110815696,0.0135043957533023
"b1722_st",-4.47765119993508,-0.516767494910351,0.00420292535971432
"b2097_st",3.3834815870503,0.270985168563826,0.0147940956099241
"b2294_st",4.29606460224042,0.611065709073255,0.00511477505319229
"b2343_st",6.27856459494115,2.12034304887277,0.000759164803892586
"b2670_st",3.15869895587282,0.242154670258869,0.0195973178632492
"b2817_st",2.87839897031371,0.39581008258401,0.0281165222970479
"b2845_st",3.21315702209907,0.476941858572402,0.0182941247030599
"b3914_st",5.91744681338651,0.76688076218697,0.00103713342180671
"clpA_b0882_st",3.15062544945588,0.906351275227284,0.0197990043266436
"clpB_b2592_st",2.59102692558226,0.962914795640721,0.0411551104934944
"cpxR_b3912_st",2.70850577027364,0.281826435628819,0.0351758692729157
"csgD_b1040_st",3.5273247761829,0.780321937347475,0.0124078749363215
"csgG_b1037_st",3.20562380133705,0.64329887276212,0.0184686119733404
"cutC_b1874_st",2.49681684559716,0.232422666091333,0.0467290602770867
"cydA_b0733_st",4.46897651979036,0.650710323858162,0.00424207141960052
"cydB_b0734_st",4.91394993467016,0.763715702132984,0.00267303236213109
"dadX_b1190_st",3.20377041642827,0.478529682700572,0.0185118192137127
"dld_b2133_st",2.60525164545892,0.474166759363751,0.0403767485490367
"dnaK_b0014_st",3.87552155553373,0.72168268335526,0.00821317150921775
"dppA_b3544_st",-2.83936781764674,-0.896530442448157,0.0295914957797422
"dppB_b3543_st",-2.64762698655244,-0.388878627447404,0.038149413516522
"dppF_b3540_st",-3.17172119508129,-0.558267600575757,0.0192767165938957
"eco_b2209_st",5.06631479413648,0.397273572716834,0.0022963197200929
"efp_b4147_st",-3.70387472243871,-0.710567697354753,0.0100421696221759
"eno_b2779_st",-2.60066219551912,-0.428703241565611,0.0406261548901454
"epd_b2927_st",-3.36006078229727,-0.335546025214544,0.0152284842618884
"exbD_b3005_st",-2.97574709880253,-0.510208313159174,0.0247725554058169
"fabD_b1092_st",-2.63199641406115,-0.476001537618973,0.0389553717711775
"fimA_b4314_st",-5.01976209369166,-3.4023362305391,0.00240462291314161
"fimI_b4315_st",-4.47919959207135,-1.14963955708709,0.00419598084684176
"fruL_b0079_st",-2.96518338870591,-0.609905043435989,0.025113694276682
"galP_b2943_st",-3.52279087819505,-0.577913457861072,0.0124762528827607
"gatY_b2096_st",-2.47423216123454,-0.597625044525794,0.0481804800482566
"gcvP_b2903_st",-2.85183556603144,-0.72748003626095,0.0291114783417184
"gdhA_b1761_st",3.01589734598093,0.620901707062051,0.0235210744449539
"glnA_b3870_st",-2.73770191701824,-1.24649176927285,0.0338386217307974
"glnK_b0450_st",-3.2024531490759,-0.462429772545963,0.0185425953518672
"gltB_b3212_st",-9.74392378974203,-3.23623362282124,6.71409789957573e-05
"gltD_b3213_st",-12.0174415460411,-3.03293957078375,2.01373461348929e-05
"glvG_b3681_st",-2.47325282425275,-0.235233959302709,0.0482444834495523
"grxB_b1064_st",7.26630398725367,0.905308796259551,0.00034558318252029
"guaB_b2508_st",-3.63409978013575,-0.458013558948988,0.0109115413939651
"hdeB_b3509_st",3.00842526228542,0.950190850396897,0.0237486828034899
"hdhA_b1619_st",3.63414990769132,0.727500426289984,0.010910887610421
"hisJ_b2309_st",-2.67216206797551,-0.749396635353831,0.0369199528693846
"hns_b1237_st",4.58787822699637,0.493830089192029,0.0037393774015787
"htrA_b0161_st",2.74699241893671,0.497539478197993,0.0334245968841034
"ilvA_b3772_st",2.46856964967354,0.324175112222667,0.0485517879238882
"ilvC_b3774_st",-4.16259774861046,-1.54132403631919,0.00592721164677689
"ilvG_1_b3767_st",3.64183443336545,0.831323239735575,0.0108111744535803
"ilvH_b0078_st",-5.52992154451799,-1.1102888964164,0.00147327831720947
"ilvI_b0077_st",-7.81028220762271,-0.950476665479826,0.000232392618427749
"kbl_b3617_st",3.08929732740115,0.949601348851605,0.0214070582920865
"kdpC_b0696_st",2.79483842140467,0.302464221232164,0.0313766883019208
"lacA_b0342_st",3.27365988063647,1.06225746035909,0.0169564321489019
"lacY_b0343_st",2.91017356293871,1.03208386516024,0.0269743144892015
"leuC_b0072_st",-3.30949543722102,-0.788533509588737,0.0162149235400742
"livF_b3454_st",-3.5940828275421,-1.00406675164553,0.0114475747639096
"livG_b3455_st",-4.22067258025282,-0.960261145461512,0.00555712750855228
"livH_b3457_st",-3.98611038074184,-1.23983946928535,0.00723261301900047
"livK_b3458_st",-9.7516140106283,-2.35196513090324,6.68403826578141e-05
"livM_b3456_st",-5.15611161885091,-1.04061825683283,0.00210268217453588
"lrp_b0889_st",-10.4234297351336,-2.30369211606208,4.57002455781859e-05
"lysU_b4129_st",5.89258449085948,3.29979980444756,0.00106020741020442
"manY_b1818_st",-2.56252550463727,-0.891518933111202,0.0427630292493187
"mdh_b3236_st",4.56491755538848,0.35991193986138,0.00383097204564722
"moaB_b0782_st",4.81459741982407,0.607118375576933,0.00295632545457422
"moaC_b0783_st",4.93233650948652,0.560747858320894,0.00262404746996337
"mopB_b4142_st",3.07308472000769,0.387985127432771,0.0218555669712014
"ndk_b2518_st",-6.51520800980372,-1.06607941432189,0.000623387630569881
"nemA_b1650_st",-5.25008003290198,-0.49414190924378,0.00191964842897811
"nlpC_b1708_st",2.68185780280094,0.341239423596596,0.0364458127806975
"nmpC_b0553_st",-3.19567410331303,-0.878990354875205,0.018701865767018
"nuoE_b2285_st",-3.22804299162708,-0.29568317012226,0.0179546092189572
"nupC_b2393_st",-5.55290365558009,-0.785607129528021,0.0014422166173416
"nusB_b0416_st",-2.95726577359073,-0.295389781220326,0.0253727172363461
"ompT_b0565_st",-4.63963976399873,-2.67317811788438,0.00354181490703232
"oppA_b1243_st",7.97448919840252,2.97550909373865,0.000207101802167029
"oppB_b1244_st",9.36080525192336,2.9127414730528,8.43055984846741e-05
"oppC_b1245_st",5.5156412519862,2.14631412017458,0.00149296285896815
"oppD_b1246_st",9.76450835998647,1.94368594247359,6.63398556956696e-05
"oppF_b1247_st",5.21202201890306,1.46292829700537,0.00199150518944326
"osmY_b4376_st",3.76334812343847,0.512519211097896,0.00936160437194643
"pepD_b0237_st",2.92285577774007,0.67030258510191,0.0265325068504731
"phoH_b1020_st",2.99744165826098,0.69498650564362,0.0240876062080656
"pntA_b1603_st",-7.73422840461541,-1.58460278693894,0.000245301390530834
"pntB_b1602_st",-5.01310306246257,-1.47033738696831,0.00242058361403938
"potA_b1126_st",-2.90642033952746,-0.60291781533973,0.0271065844113168
"ppc_b3956_st",2.90869211581199,0.72145593573312,0.0270264396974685
"ppsA_b1702_st",-2.83672769214498,-0.244948536581241,0.0296942321761686
"prfC_b4375_st",-3.72083271397654,-0.561692436304506,0.0098426771638797
"proP_b4111_st",2.7249327879847,0.901823388589781,0.0344166566022143
"proV_b2677_st",2.72544241153931,0.783588542956213,0.0343933854452397
"ptsG_b1101_st",-5.03600512911578,-1.15639430777838,0.00236618904563128
"purD_b4005_st",-2.47093642557321,-0.424604042618162,0.0483962258357494
"purH_b4006_st",-2.44923689250688,-0.633126086625829,0.0498423732746457
"pyrG_b2780_st",-2.8122709638913,-0.325932441353151,0.0306643853565954
"rmf_b0953_st",7.85167660818359,2.70531010599955,0.000225696552016252
"rnpA_b3704_st",-4.05254174869948,-0.59769237500613,0.00670681534376434
"rplA_b3984_st",-2.75290132664345,-0.312323202960718,0.0331640972247782
"rplC_b3320_st",-3.89267396080268,-0.217932097461389,0.00805181204966294
"rplL_b3986_f_st",-2.54393388311344,-0.509288258183089,0.0438476893109114
"rplM_b3231_st",-5.35389080914302,-0.385473234893499,0.00173817148152604
"rpoA_b3295_st",-3.57907534794709,-0.225578797774213,0.0116560663791773
"rpoN_b3202_st",4.30268875882172,0.448290356467657,0.00507783828380316
"rpoS_b2741_st",2.78947837654161,0.803903628233117,0.0315992610620482
"rpsF_b4200_st",-2.61400963972563,-0.310361181106977,0.0399053153358472
"rpsI_b3230_st",-5.24154388457769,-0.509605273737108,0.00193550541953656
"rpsJ_b3321_st",-4.48098990452114,-0.278269143132215,0.00418796743397956
"rpsR_b4202_st",-2.64086085618351,-0.651544558465968,0.0384960929087818
"rpsU_b3065_st",-3.36044611728465,-0.602212213277284,0.0152212249337747
"sdhA_b0723_st",-5.37806382546464,-0.486740085584415,0.00169876688497178
"sdhD_b0722_st",-3.26812024390406,-0.85086804167994,0.0170743409208351
"serA_b2913_st",-14.9274224330105,-2.77632786182079,5.68975821583466e-06
"serC_b0907_st",-2.76058232090259,-0.705390053889783,0.0328287224779757
"sodA_b3908_st",-9.45749713066899,-1.50489383141497,7.95367876406862e-05
"speA_b2938_st",-2.64959832636556,-0.446999589745992,0.0380490341024935
"spr_b2175_st",-3.42912434035502,-0.587048921285501,0.0139861985453844
"stpA_b2669_st",-6.57471213202134,-1.78903257454306,0.000593776195291112
"sucB_b0727_st",-2.59273882619069,-0.5399213583784,0.0410605989367196
"sucC_b0728_st",-2.71986968955939,-0.568125015587867,0.034648772660092
"sulA_b0958_st",3.99478685881204,0.566480139727183,0.00716139271855451
"tdh_b3616_st",4.64453507688062,1.61224268955069,0.0035237486971163
"tmk_b1098_st",-3.23454460965828,-0.14441961482683,0.0178084907192937
"trmA_b3965_st",-2.89831570656955,-0.391203234622989,0.0273946014736258
"umuC_b1184_st",3.21970971614566,0.381230624512476,0.0181438146649418
"umuD_b1183_st",2.98325853348932,0.302348801304486,0.024533041024472
"valS_b4258_st",-2.85355915349866,-0.231703426380433,0.029045781694878
"wbbJ_b2033_st",-2.76816218664733,-0.360793183131237,0.032501326794189
"wcaK_b2045_st",-2.91322715574159,-0.202382473749551,0.0268672151974837
"wza_b2062_st",-3.98608646365741,-0.205084005414689,0.00723281043115139
"xseA_b2509_st",-4.042562774259,-0.299515124382623,0.006782997248875
"yabC_b0082_st",3.41567663437829,0.285525020631741,0.0142190624694921
"yafK_b0224_st",3.32575996967434,0.362544901615598,0.0158901803263457
"yagB_b0266_st",2.64622370247548,0.368614286600126,0.0382210398278304
"yahG_b0321_st",3.95724915158001,0.270106551289512,0.00747527182919774
"ybaS_b0485_st",2.58866536892115,0.150355517297166,0.0412858680343547
"ybcU_b0557_st",-2.71196489196335,-0.935748404730205,0.0350145212999213
"ybdB_b0597_st",-2.78046720608049,-0.209079902441742,0.0319772756621111
"ybfA_b0699_st",7.45384181047955,0.910996224326055,0.000300582127903307
"ybiU_b0821_st",2.54698634018969,0.280320936067707,0.0436676236227142
"yccA_b0970_st",3.28058672524012,0.731144694634427,0.0168102514133987
"yceB_b1063_st",2.96960285053746,0.484777522356877,0.0249703592345516
"ycgZ_b1164_st",2.80411033515559,0.137110329257403,0.030995644765992
"ycjJ_b1296_st",2.47041588716513,0.241671927308554,0.048430394372996
"ydeI_b1536_st",-2.70500877350195,-0.18816874320888,0.0353397924515085
"ydgR_b1634_st",5.05354044925573,2.34757042167145,0.00232547754054427
"ydiC_b1684_st",-3.07670295977906,-0.127103261122272,0.0217545919255335
"yecI_b1902_st",2.49411656195433,0.453508811614107,0.0469001409581187
"yecP_b1871_st",-3.14415960651481,-0.419771563709263,0.0199621631878205
"yeeF_b2014_st",-5.04963936541347,-0.879444390473536,0.00233446544355398
"yefJ_b2031_st",-3.55800531048847,-0.514104110090436,0.011955906631299
"yegD_b2069_st",-3.06048541921944,-0.207501341393117,0.0222111774380991
"yeiR_b2173_st",-2.7987296349876,-0.363267811488912,0.0312161633859696
"yfbT_b2293_st",2.65974371125596,0.494574252298801,0.0375368717191691
"yfdO_b2358_st",-2.62221376780096,-0.330442905905965,0.039469004737173
"yfeC_b2398_st",-3.56132154681354,-0.366737267256642,0.0119081539497199
"yfiA_b2597_st",3.02018455033883,1.20579579312734,0.0233915511124584
"ygfE_b2910_st",2.9270019278292,0.768032756136098,0.0263897699883285
"ygjU_b3089_st",3.21410932958052,0.849941185189511,0.0182721956901448
"yhaR_b3113_st",-2.54796517959059,-0.212363942412376,0.0436100474672388
"yhdG_b3260_st",-6.01556906988522,-0.4748933623915,0.00095150440099668
"yhgF_b3407_st",-3.01497120450097,-0.197374713139345,0.0235491568056316
"yhjE_b3523_st",-3.83299529004168,-1.19219736256065,0.00862899935991757
"yibP_b3613_st",-3.67006518014624,-0.289076760130177,0.0104534346661048
"yidC_b3705_st",-2.49637756972416,-0.519648585916244,0.0467568463558146
"yigF_b3817_st",-2.71934221706216,-0.189583027848951,0.0346730506517898
"yiiT_b3923_st",2.55142729365283,0.477614546936906,0.0434070474057852
"yijP_b3955_st",-2.54834049652613,-0.407357054104709,0.0435879923426494
"yjbA_b4030_st",3.38082637879924,0.670371328306871,0.0148426503175052
"yjbQ_b4056_st",2.58678009199962,0.428773394847768,0.0413905710337422
"yjdB_b4114_st",-3.06622788848848,-0.38585640922712,0.0220483238777025
"yjgW_b4274_st",-2.729392366581,-0.168965679256861,0.0342135872165622
"yjjK_b4391_st",-2.58078472416337,-0.384011069777795,0.0417254150972741
"yliJ_b0838_st",2.47825505101232,0.59809179594601,0.0479185063960349
"ynfM_b1596_st",2.80274169444656,0.399579662951222,0.0310515768836781
"yojL_b2214_st",-2.54082275621497,-0.103601119748291,0.044032025318467
"ytfK_b4217_st",7.81549357554911,2.64137844388281,0.000231537137148068
